symbol,symboltoken,pdh,pdl,dir,open,perc,is_gap,min,max,o_qty,ltp
EIHOTEL-EQ,919.0,211.0,207.0,1,208.15,-0.0135,False,207.0,211.0,480,209.2
MUTHOOTFIN-EQ,23650.0,1251.85,1232.3,-1,1249.35,-0.0136,False,1232.3,1251.85,80,1243.75
ANGELONE-EQ,324.0,1743.95,1695.5,1,1720.2,-0.0136,False,1695.5,1743.95,58,1708.5
CLEAN-EQ,5049.0,1395.0,1375.0,-1,1394.0,-0.0136,False,1375.0,1395.0,71,1392.0
RBLBANK-EQ,18391.0,176.85,173.2,-1,175.6,-0.0137,False,173.2,176.85,569,176.0
JSWENERGY-EQ,17869.0,274.35,268.6,-1,272.45,-0.0141,False,268.6,274.35,367,272.15
MARICO-EQ,4067.0,530.5,521.05,1,523.0,-0.0141,False,521.05,530.5,191,526.3
BAYERCROP-EQ,17927.0,4359.95,4311.0,-1,4373.0,-0.0142,False,4311.0,4373.0,22,4357.3
UBL-EQ,16713.0,1508.7,1490.6,-1,1512.0,-0.0142,False,1490.6,1512.0,66,1508.0
ULTRACEMCO-EQ,11532.0,8318.8,8182.0,-1,8299.95,-0.0142,False,8182.0,8318.8,12,8285.0
ASAHIINDIA-EQ,5378.0,490.35,479.0,-1,485.9,-0.0142,False,479.0,490.35,205,484.4
REDINGTON-EQ,14255.0,189.5,186.0,1,186.8,-0.0142,False,186.0,189.5,535,185.4
SUMICHEM-EQ,17105.0,442.0,434.7,-1,441.0,-0.0143,False,434.7,442.0,226,438.35
BAJAJHLDNG-EQ,305.0,7084.0,6942.35,1,6983.0,-0.0143,False,6942.35,7084.0,14,6980.0
MARUTI-EQ,10999.0,9575.0,9432.55,-1,9569.0,-0.0143,False,9432.55,9575.0,10,9567.2
TRENT-EQ,1964.0,1773.2,1749.45,-1,1774.95,-0.0144,False,1749.45,1774.95,56,1770.6
TRITURBINE-EQ,25584.0,405.55,399.0,-1,404.85,-0.0144,False,399.0,405.55,247,403.35
NATCOPHARM-EQ,3918.0,698.5,687.8,-1,697.9,-0.0145,False,687.8,698.5,143,693.8
RAYMOND-EQ,2859.0,1697.0,1675.0,-1,1699.9,-0.0146,False,1675.0,1699.9,58,1694.9
GALAXYSURF-EQ,1315.0,2705.0,2642.9,1,2665.2,-0.0147,False,2642.9,2705.0,37,2664.05
NTPC-EQ,11630.0,190.6,185.3,-1,188.1,-0.0149,False,185.3,190.6,531,189.55
